,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
1384,2901779,105894237,AR,2018-12-31,2021-09-29 02:35:21,Seazen Group Limited,WARNING,0.5485851326984231,33.46369309460381,4810,2931,1879,160,76609
1386,2905293,15525212,AR,2016-12-31,2021-09-29 02:34:03,Xinming China Holdings Limited,SUCCESS,0.3542566502141919,40.031001474203684,3686,2474,1212,264,47377
1387,2906274,11991275,AR,2016-12-31,2021-09-29 02:35:21,Seazen Group Limited,WARNING,1.0877616084876465,44.598225947993505,4655,2979,1676,139,70170
1389,2925236,12590069,AR,2016-12-31,2021-09-29 02:44:41,3SBio Inc.,WARNING,0.35160252838298395,37.62147053697928,4990,3327,1663,264,61427
1390,2954405,71492489,AR,2017-03-29,2021-09-29 02:44:51,PetroChina Company Limited,SUCCESS,0.2357680164904014,34.186362391108204,6578,4047,2531,207,83540
1392,2972790,987401,AR,2015-12-31,2021-09-29 02:36:45,"Qilu Bank Co., Ltd.",WARNING,3.308094996597044,3.308094996597044,511,359,152,18,4763
1393,6585043,167824179,AR,2021-09-29,2021-09-29 21:24:31,"China Huarong Asset Management Co., Ltd.",WARNING,0.5548025112287758,43.27459587584451,8014,4529,3485,309,95766
1394,6592300,168376926,AR,2021-10-04,2021-10-04 12:25:03,"Chongqing Machinery & Electric Co., Ltd.",WARNING,0.9390314979743871,1.8780629959487742,70,51,19,2,944
1395,2368432,136323083,AR,2020-04-28,2021-10-05 08:45:05,Portico International Holdings Limited,WARNING,0.2653379215750285,34.493929804753705,2569,1646,923,380,36399
1398,2423823,136209225,AR,2020-04-27,2021-10-06 01:22:55,NetDragon Websoft Holdings Limited,WARNING,0.6597852854488098,64.65895797398336,6513,4426,2087,190,75655
1399,2424843,23079493,AR,2016-03-23,2021-10-04 01:54:50,China Fordoo Holdings Limited,SUCCESS,0.6817192246889244,18.40641906660096,2682,1715,967,125,33330
1401,2428734,107164695,AR,2019-04-18,2021-10-07 01:41:19,Tiangong International Company Limited,SUCCESS,0.412875045664822,29.314128242202365,4943,3047,1896,173,55240
1403,2428744,107172940,AR,2019-04-18,2021-10-04 01:55:45,China Hongqiao Group Limited,SUCCESS,0.7005824101202287,35.02912050601144,4827,2953,1874,221,60370
1404,2428750,107175630,AR,2019-04-18,2021-10-04 01:59:32,Huazhong In-Vehicle Holdings Company Limited,SUCCESS,0.2909657652784303,32.29719994590577,4174,2522,1652,285,50038
1406,2428804,107164755,AR,2019-04-18,2021-10-04 01:57:51,IRICO Group New Energy Company Limited,SUCCESS,0.39851993836485733,20.723036794972582,4674,2834,1840,217,56640
1408,2430342,105977111,AR,2019-03-28,2021-10-04 01:56:29,Yuxing InfoTech Investment Holdings Limited,SUCCESS,0.556183889226254,21.691171679823903,4055,2310,1745,165,48183
1410,2430606,106346999,AR,2019-04-22,2021-10-05 01:50:43,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",SUCCESS,0.5004719501582223,53.05002671677156,4200,2782,1418,238,53040
