,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent_x,sum_sent_x,hit_count_x,positive_hits_x,negative_hits_x,section_count_x,word_count_x,avg_sent_y,sum_sent_y,hit_count_y,positive_hits_y,negative_hits_y,section_count_y,word_count_y
855,2447343,106900339,AR,2019-04-15,2021-07-26 06:35:28,7Road Holdings Limited,SUCCESS,0.2886964826695397,20.208753786867778,3553,2246,1307,165,44955,,,,,,,
856,2448797,106272866,AR,2019-04-02,2021-07-26 06:34:03,Asia Cement (China) Holdings Corporation,SUCCESS,0.3686335149529865,43.130121249499425,3780,2465,1315,291,47182,,,,,,,
857,2449551,106832298,AR,2019-04-12,2021-07-26 06:31:31,Sinotrans Limited,WARNING,0.3155686564247768,69.4251044134509,7938,5199,2739,432,102848,,,,,,,
859,2453420,134158705,AR,2020-03-26,2021-07-26 06:38:08,Haitong Securities Co. Ltd.,SUCCESS,1.785368206342798,114.26356520593907,10584,6721,3863,250,136675,,,,,,,
863,2454452,135966287,AR,2020-04-23,2021-07-26 06:47:40,"Pharmaron Beijing Co., Ltd.",SUCCESS,1.045056501999978,62.70339011999869,5757,4007,1750,176,65122,,,,,,,
864,2454548,135935725,AR,2020-04-23,2021-07-26 06:36:40,Haidilao International Holding Ltd.,SUCCESS,0.5095316502037999,68.78677277751298,6023,4111,1912,311,70469,,,,,,,
872,2454950,135966224,AR,2020-04-23,2021-07-26 06:37:43,Da Ming International Holdings Limited,WARNING,0.33129382316609995,15.570809688806698,2333,1442,891,178,31343,,,,,,,
880,2455543,136077002,AR,2020-04-24,2021-07-26 06:41:29,Great Wall Motor Company Limited,SUCCESS,1.551901062593032,49.660834002977026,6717,4516,2201,143,76110,,,,,,,
896,2455553,136077184,AR,2020-04-24,2021-07-26 06:48:09,Angang Steel Company Limited,SUCCESS,0.3575370871373026,28.245429883846906,5646,3679,1967,204,67708,,,,,,,
898,2457544,136208931,AR,2020-04-27,2021-07-26 06:36:39,Mobvista Inc.,SUCCESS,0.385626464527985,47.81768160147014,3849,2509,1340,312,50404,,,,,,,
