,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
76,5138369,69489595,AR,2021-05-15,2021-07-03 10:55:36,ENGER Engenharia S.A.,WARNING,0.3692589833346238,41.35700613347787,3438,2407,1031,289,42664
78,5224232,153874663,AR,2021-03-03,2021-07-02 06:24:54,Banco BOCOM BBM S.A.,WARNING,0.06551998260928664,5.372638573961504,1102,645,457,85,13313
79,5237942,155273630,AR,2021-03-30,2021-07-01 11:18:50,Banco BMG S.A.,WARNING,0.11113020713416884,4.222947871098416,1792,1060,732,126,23379
83,5237944,155273630,AR,2021-03-30,2021-07-01 11:18:50,Banco BMG S.A.,WARNING,0.11113020713416884,4.222947871098416,1792,1060,732,126,23379
84,5239012,155273630,AR,2021-03-30,2021-07-02 06:24:08,Banco BMG S.A.,WARNING,0.11113020713416884,4.222947871098416,1792,1060,732,126,23379
85,5239013,155273630,AR,2021-03-30,2021-07-02 06:24:08,Banco BMG S.A.,WARNING,0.11113020713416884,4.222947871098416,1792,1060,732,126,23379
86,5243357,159081843,AR,2021-06-26,2021-07-04 00:48:41,Banco Nacional de Desenvolvimento Econômico e Social,SUCCESS,-0.08185240298977427,-5.484111000314876,2404,1278,1126,149,27374
87,5243712,159081839,AR,2021-06-26,2021-07-02 06:21:55,Banco Nacional de Desenvolvimento Econômico e Social,WARNING,-0.25767872417293824,-0.25767872417293824,101,48,53,14,1722
88,5243848,159081832,AR,2021-06-26,2021-07-02 06:21:38,Banco Nacional de Desenvolvimento Econômico e Social,WARNING,0.04967484267637619,2.5830918191715617,2631,1516,1115,74,32517
89,5243999,159081835,AR,2021-06-26,2021-07-02 06:21:34,Banco Nacional de Desenvolvimento Econômico e Social,SUCCESS,0.023238930054953044,2.184459425165586,2509,1392,1117,194,32799
